Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Colon,BGA,0.8747311827956988,0.86555091838797,0.859621212121212,0.859621212121212,0.8618673910552254,0.9169886363636363,18.6,3.6730923573176066
Colon,BGWO,0.8779569892473117,0.8665369666038724,0.8679166666666668,0.8679166666666668,0.8669550460535359,0.9133712121212123,83.6,6.230394514401754
Colon,BWOA,0.874731182795699,0.8631188915361768,0.8637121212121213,0.8637121212121213,0.8632745669690132,0.9155303030303032,79.5,4.080577357610067
Colon,BSSA,0.874731182795699,0.8625193788339125,0.8654166666666668,0.8654166666666668,0.8637549341372747,0.9132386363636366,80.7,4.115593981742859
Colon,BHHO,0.8795698924731181,0.8680011061662565,0.869848484848485,0.869848484848485,0.8687557404852007,0.9138446969696968,79.33333333333333,4.096299235026041
Colon,BSCA,0.8763440860215054,0.8646297175658955,0.8666666666666668,0.8666666666666668,0.8654088106645227,0.9111553030303032,82.46666666666667,4.084282652537028
Colon,BGOA,0.8774193548387096,0.8660128710257079,0.867159090909091,0.867159090909091,0.8663591726012665,0.9121590909090911,91.43333333333334,4.841871722539266
Colon,BWSO,0.8784946236559139,0.8669927978494564,0.8686742424242426,0.8686742424242426,0.8676087400844577,0.9117613636363636,79.06666666666666,4.01230005423228
Colon,BEHO,0.8784946236559139,0.8666554722091362,0.8693560606060607,0.8693560606060607,0.8678011984683491,0.9131439393939396,69.83333333333333,4.034618838628133
Colon,BCMAES,0.8639784946236558,0.852683248617766,0.8489015151515152,0.8489015151515152,0.8504464312750329,0.9142613636363636,18.766666666666666,3.9664938847223916
SRBCT,AMPA_FS,0.9815261044176707,0.9858336420922629,0.9858409961685825,0.9932950191570881,0.9855280082496123,0.9992141827946426,45.233333333333334,2.9423722426096597
SRBCT,BMPA,0.985542168674699,0.9879145079394627,0.9884469987228607,0.99481862167207,0.9879351586023034,0.9993896666339194,51.03333333333333,2.7910223325093586
SRBCT,BPSO,0.985140562248996,0.9883035041799411,0.987808429118774,0.9945841315453384,0.9878183444932277,0.9992900252153126,60.0,4.199478689829508
SRBCT,BGA,0.9638554216867471,0.9698818547040716,0.9676685243236968,0.9870452852277565,0.9680665775686337,0.9961254361326201,17.666666666666668,3.7758484919865927
SRBCT,BGWO,0.9891566265060241,0.9916813783279301,0.9913090676883781,0.9960674755214984,0.9912858142866158,0.9997694763729247,80.83333333333333,6.338389126459758
SRBCT,BWOA,0.9903614457831327,0.9927802527914691,0.991727969348659,0.9964559386973179,0.992075086488186,0.9997947080590759,76.86666666666666,4.21878801981608
SRBCT,BSSA,0.9851405622489959,0.9886635439911302,0.9883435504469986,0.9945881226053641,0.9882304440559017,0.9997322264793529,77.76666666666667,4.327767380078634
SRBCT,BHHO,0.981526104417671,0.9858544753794299,0.9854897828863345,0.9933211350165373,0.9852721372443322,0.9994804171988082,76.1,4.239595182736715
SRBCT,BSCA,0.991566265060241,0.9935508668640853,0.9936896551724139,0.9969189016602809,0.9934924400408673,0.9996619838229034,78.46666666666667,4.22027526696523
SRBCT,BGOA,0.9871485943775102,0.9893274236406421,0.9898639846743296,0.9953623882503192,0.9894210386197458,0.9996962537249893,86.33333333333333,5.137966823577881
SRBCT,BWSO,0.9855421686746989,0.9886572553670254,0.9886685823754789,0.9947366309722632,0.9885157250338302,0.9994558404558405,76.7,4.413971185684204
SRBCT,BEHO,0.9895582329317272,0.9919685820246167,0.99216091954023,0.9961792252022137,0.9919420975045217,0.9997012722271343,68.53333333333333,4.261780707041423
SRBCT,BCMAES,0.9594377510040161,0.9641305860523901,0.963253628236387,0.9855627803975506,0.9628501868295483,0.996276022827747,18.266666666666666,4.158864521980286
Leukemia,AMPA_FS,0.9643518518518517,0.9668851340564906,0.9549078014184398,0.9549078014184398,0.9601235378860475,0.994014184397163,50.63333333333333,2.889456049601237
Leukemia,BMPA,0.9708333333333332,0.9756496705667942,0.9604964539007094,0.9604964539007094,0.9672491798268584,0.9960992907801419,61.1,2.7808021863301593
Leukemia,BPSO,0.9689814814814813,0.9722569595213972,0.9597021276595746,0.9597021276595746,0.9653447768141092,0.9956170212765957,62.8,4.081997927029928
Leukemia,BGA,0.9560185185185183,0.9580258230180756,0.9450921985815605,0.9450921985815605,0.9508623761778873,0.9888652482269503,14.933333333333334,3.6959747155507405
Leukemia,BGWO,0.973148148148148,0.9762782723018285,0.9647659574468086,0.9647659574468086,0.9700194524006254,0.9952198581560284,82.13333333333334,6.262157273292542
Leukemia,BWOA,0.9671296296296296,0.9696968926793659,0.9579716312056739,0.9579716312056739,0.9632732501631354,0.9950496453900707,80.0,4.120767760276794
Leukemia,BSSA,0.9699074074074072,0.9737037171233681,0.9604113475177306,0.9604113475177306,0.9663201115857446,0.9955886524822695,82.9,4.122189331054687
Leukemia,BHHO,0.9708333333333332,0.9753707700222337,0.960808510638298,0.960808510638298,0.9673344671091848,0.9958439716312057,79.1,4.116215380032857
Leukemia,BSCA,0.9685185185185183,0.9726121725285858,0.9584113475177306,0.9584113475177306,0.9647449619057514,0.9961843971631205,82.53333333333333,4.110430812835693
Leukemia,BGOA,0.9685185185185183,0.9729531770154871,0.958099290780142,0.958099290780142,0.9647245718348293,0.9951631205673758,88.06666666666666,4.897932656606039
Leukemia,BWSO,0.9745370370370369,0.9783810155730499,0.9658297872340427,0.9658297872340427,0.9715241068940016,0.9948794326241134,77.13333333333334,4.114839633305867
Leukemia,BEHO,0.9703703703703702,0.9717988430339759,0.9629503546099293,0.9629503546099293,0.9669967757539747,0.9953758865248226,70.6,4.112043285369873
Leukemia,BCMAES,0.9574074074074073,0.9612301238300257,0.9452198581560285,0.9452198581560285,0.9521078826508702,0.9903829787234043,14.866666666666667,4.02542409102122
